Include,,,,,Run,Cooldown,TOTAL,,,,,Guess,,Notes,,,,,,,,,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Kevin Intensity Meter,Town,Season,,Start Time,Notes,
,Saturday,5,26,5/26/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Sunday,5,27,5/27/18,388,3.53,0,8:30,7.06,30,0,0,0.37,0,16:13,3.7,6,0,388,3.9,36,0,0:36:00,,Home,Summer 2018,,10:40 AM,91 degrees out,
,Monday,5,28,5/28/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
,Tuesday,5,29,5/29/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
,Wednesday,5,30,5/30/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Thursday,5,31,5/31/18,382,3,0,8:29,7.077,25,26,0,1.06,0,17:31,3.425,18,34,382,4.06,44,0,0:44:00,,Home,Summer 2018,,,,
,Friday,6,1,6/1/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Saturday,6,2,6/2/18,296,2.73,0,8:34,7.014,23,21,0,0.25,0,16:40,3.6,4,10,296,2.98,27,31,0:27:31,,Home,Summer 2018,,,Stupid Nike Run App crashed during the run so I actually don't know how much I ran and the time either.,
,Sunday,6,3,6/3/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Monday,6,4,6/4/18,408,3.89,0,8:14,7.293,32,0,0,0.14,0,17:52,3.36,2,30,408,4.03,34,30,0:34:30,,Home,Summer 2018,,7:30 PM,,
,Tuesday,6,5,6/5/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Wednesday,6,6,6/6/18,492,4.51,0,7:59,7.516,36,0,0,0.43,0,17:39,3.402,7,35,492,4.94,43,35,0:43:35,,Home,Summer 2018,,10:15 AM,,
,Thursday,6,7,6/7/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Friday,6,8,6/8/18,428,4.02,0,8:28,7.094,34,0,0,0.26,0,17:19,3.466,4,30,428,4.28,38,30,0:38:30,,Home,Summer 2018,,7:15 PM,,
,Saturday,6,9,6/9/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Sunday,6,10,6/10/18,410,3.57,0,8:31,7.057,30,21,0,0.69,0,18:20,3.272,12,39,410,4.26,43,0,0:43:00,,Home,Summer 2018,,11:00 AM,GASSED. Took a 1 minute break (and paused) during the 27th minute. Left heel starting hurting around 31st minute and stopped run entirely. I also went biking with Jack Duggan for about an hour tonight.,
,Monday,6,11,6/11/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Summer 2018,,,,
Outside,Tuesday,6,12,6/12/18,437,4.16,0,8:54,6.745,37,0,0,0.22,0,18:11,3.3,4,0,437,4.38,41,0,0:41:00,,Home,Summer 2018,,10:15 AM,GASSED again. Shirt very sweaty. But perfect love casts out fear,
Outside,Wednesday,6,13,6/13/18,429,4.02,0,7:58,7.537,32,0,0,0.24,0,16:40,3.6,4,0,429,4.26,36,0,0:36:00,,Home,Summer 2018,,5:55 PM,,
