Year,Ranking,Song,Album,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6
2016,20,Cough Syrup,Young the Giant (Special Edition),Young the Giant,,,,,
2016,21,Cool Kids,Talking Dreams (Deluxe Version),Echosmith,,,,,
2016,22,White Iverson,White Iverson,Post Malone,,,,,
2016,23,Me And My Broken Heart,Let The Road,Rixton,,,,,
2016,24,"Too Little, Too Late",The High Road,JoJo,,,,,
2016,25,How To Love,Tha Carter IV (Deluxe),Lil Wayne,,,,,
2016,26,Headlines,Take Care (Deluxe),Drake,,,,,
2016,27,Come Home,Dreaming Out Loud,OneRepublic,,,,,
2016,28,Talk,Gravity,Against The Current,,,,,
2016,29,Catch My Breath,"Alex Goot & Friends, Vol. 2",Alex Goot,ATC,,,,
2016,30,Break Free,My Everything (Deluxe),Ariana Grande,Zedd,,,,
2016,31,Sweater Weather,I'm Sorry…,The Neighbourhood,,,,,
2016,32,Here Without You,Away From The Sun,3 Doors Down,,,,,
2016,33,Trophies,Trophies,Young Money,Drake,,,,
2016,34,The Fighter - feat. Ryan Tedder,The Papercut Chronicles II,Gym Class Heroes,,,,,
2016,35,Tapout,Tapout,Rich Gang,Lil Wayne,Birdman,Mack Maine,Nicki Minaj,Future
2016,36,Lights Down Low,Lights Down Low (Main Version),Maejor,Waka Flocka Flame,,,,
2016,37,Mad,Year Of The Gentleman (Bonus Track Edition),Ne-Yo,,,,,
2016,38,Slum Anthem,Slum Anthem,K CAMP,,,,,
2016,39,Not Over You,"Alex Goot & Friends, Vol. 2",Alex Goot,ATC,,,,
2016,40,Need You Now,Need You Now,Lady Antebellum,,,,,
2016,41,Falling Slow,Unbreakable Smile,Tori Kelly,,,,,
2016,42,The Stand,The Stand,Hillsong Youth & Free,,,,,
2016,43,Somewhere Only We Know,The Best of Keane (Deluxe Edition),Keane,,,,,
2016,44,0 To 100 / The Catch Up,0 To 100 / The Catch Up,Drake,,,,,
2016,45,Kiss Me Slowly,The Way It Was,Parachute,,,,,
2016,46,Beauty And A Beat,"Alex Goot & Friends, Vol. 3",Alex Goot,ATC,Kurt Hugo Schneider,,,
2016,47,Fall For You,A Twist In My Story,Secondhand Serenade,,,,,
2016,48,Up,Up,Olly Murs,Demi Lovato,,,,
2016,49,Follow Through,Chariot - Stripped,Gavin DeGraw,,,,,
2016,50,See You Again,See You Again,Against The Current,,,,,
2016,51,Right Back Where We Started From,Lost Hits Of The 70s (All Original Artists & Versions),Maxine Nightingale,,,,,
2016,52,Dear No One,Foreword,Tori Kelly,,,,,
2016,53,Damaged,Welcome To The Dollhouse,Danity Kane,,,,,
2016,54,Someone Like You,21,Adele,,,,,
2016,55,Thinking Out Loud,x (Deluxe Edition),Ed Sheeran,,,,,
2016,56,All Too Well,All Too Well,ATC,,,,,
2016,57,"You Are The Music In Me - From ""High School Musical 2""/Soundtrack Version",High School Musical 2,Troy,Gabriella,,,,
2016,58,Just A Picture,Just A Picture,KYLE,Kehlani,,,,
2016,59,Started From The Bottom,Nothing Was The Same (Deluxe),Drake,,,,,
2016,60,Give Your Heart a Break,Unbroken,Demi Lovato,,,,,
2016,61,Cigarette Daydreams,Melophobia,Cage The Elephant,,,,,
2016,62,Kids,Oracular Spectacular,MGMT,,,,,
2016,63,How He Loves,Church Music,David Crowder Band,,,,,
2016,64,The Heart Wants What It Wants,For You,Selena Gomez,,,,,
2016,65,Donald Trump,Donald Trump - Single,Mac Miller,,,,,
2016,66,Daydream,Foreword,Tori Kelly,,,,,
2016,67,"Bitch, Don't Kill My Vibe","good kid, m.A.A.d city",Kendrick Lamar,,,,,
2016,68,Red,Red,Against The Current,,,,,
2016,69,Counting Stars,Native,OneRepublic,,,,,
2016,70,Often,Beauty Behind The Madness,The Weeknd,,,,,
2016,71,I Don't Want to Be,Chariot - Stripped,Gavin DeGraw,,,,,
2016,72,Pompeii,Bad Blood,Bastille,,,,,
2016,73,Collect Call,Fantasies,Metric,,,,,
2016,74,Right Above It,I Am Not A Human Being,Lil Wayne,Drake,,,,
2016,75,Give Me Faith,Kingdom Come,Elevation Worship,,,,,
2016,76,Let's Go - feat. TobyMac,Outta Space Love,Group 1 Crew,,,,,
2016,77,The Lovers Are Losing,Perfect Symmetry,Keane,,,,,
2016,78,In The Name of Love,In The Name of Love,Martin Garrix,Bebe Rexha,,,,
2016,79,Giving My Life,"Humanity, Vol. I",I-Exist,,,,,
2016,80,Raging Fire,Raging Fire,Phillip Phillips,,,,,
2016,81,Waving Flag - Power Remix,Waving Flag - Single,Chani,,,,,
2016,82,Got Money,Tha Carter III,Lil Wayne,T-Pain,,,,
2016,83,Moonlight,Inspire - EP,Rameses B,,,,,
2016,84,No Faith in Brooklyn (feat. Jhameel),All American,Hoodie Allen,Jhameel,,,,
2016,85,The Haters,Success and Failure & Prince of the South 2 (Deluxe Version),Chingy,,,,,
2016,86,Dirt,Dirt,Florida Georgia Line,,,,,
2016,87,Play It Again,Crash My Party,Luke Bryan,,,,,
2016,88,Story Of My Life,Midnight Memories (Deluce),One Direction,,,,,
2016,89,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities,,,,,
2016,90,Crush,David Archuleta,David Archuleta,,,,,
2016,91,Love Me Like You Mean It,The First Time,Kelsea Ballerini,,,,,
2016,92,She Will Be Loved (feat. Tiffany Alvord),"Cover Collaborations, Vol. 1",Boyce Avenue,Tiffany Alvord,,,,
2016,93,No Interruption,All American,Hoodie Allen,,,,,
2016,94,Team,Pure Heroine,Lorde,,,,,
2016,95,Impossible - Main,No Gravity,Shontelle,,,,,
2016,96,Find You,"Alex Goot & Friends, Vol. 4",Alex Goot,ATC,,,,
2016,97,Wasteland,Wasteland,Against The Current,,,,,
2016,98,Fall Back,The Proven Theory,YONAS,,,,,
2016,99,Don't You Wanna Stay,My Kinda Party,Jason Aldean,Kelly Clarkson,,,,
2016,100,Eye of the Needle,1000 Forms Of Fear (Deluxe Version),Sia,,,,,
2016,101,All These Things That I've Done,Hot Fuss,The Killers,,,,,
