,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Start Time,,,
Ike,Saturday,5,5,05/05/18,287,2.44,8:11,08:12,7.320,20,0,20,0.26,14:57,15:24,3.900,4,0,307,2.70,24,0,0:24:00,3:40 PM,,,
Ike,Sunday,5,6,05/06/18,477,4.01,7:58,07:59,7.518,32,0,24,0.33,15:04,15:10,3.960,5,0,501,4.34,37,0,0:37:00,3:30 PM,,,
,Monday,5,7,05/07/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,8,05/08/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,9,05/09/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Thursday,5,10,05/10/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Friday,5,11,05/11/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Saturday,5,12,05/12/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,5,13,05/13/18,387,3.55,0,09:01,6.656,32,0,0,0.4,0,17:30,3.428,7,0,387,3.95,39,0,0:39:00,10:10 AM,,,
,Monday,5,14,05/14/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Tuesday,5,15,05/15/18,401,3.67,0,08:11,7.340,30,0,0,0.33,0,15:34,3.857,5,8,401,4.00,35,8,0:35:08,6:10 PM,,,
,Wednesday,5,16,05/16/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Thursday,5,17,05/17/18,406,3.78,0,08:13,7.316,31,0,0,0.27,0,16:40,3.600,4,30,406,4.05,35,30,0:35:30,7:45 PM,,,
,Friday,5,18,05/18/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Saturday,5,19,05/19/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Sunday,5,20,05/20/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Monday,5,21,05/21/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,22,05/22/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Wednesday,5,23,05/23/18,389,3.55,0,08:28,7.100,30,0,0,0.40,0,17:30,3.428,7,0,389,3.95,37,0,0:37:00,4:30 PM,,,
,Thursday,5,24,05/24/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Friday,5,25,05/25/18,366,3.51,0,08:33,7.020,30,0,0,0.10,0,16:40,3.600,1,40,366,3.61,31,40,0:31:40,10:40 AM,,,
,Saturday,5,26,05/26/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Sunday,5,27,05/27/18,388,3.53,0,08:30,7.060,30,0,0,0.37,0,16:13,3.700,6,0,388,3.90,36,0,0:36:00,10:40 AM,,,
,Monday,5,28,05/28/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Tuesday,5,29,05/29/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
,Wednesday,5,30,05/30/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Thursday,5,31,05/31/18,382,3.00,0,08:29,7.077,25,26,0,1.06,0,17:31,3.425,18,34,382,4.06,44,0,0:44:00,,,,
,Friday,6,1,06/01/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Saturday,6,2,06/02/18,296,2.73,0,08:34,7.014,23,21,0,0.25,0,16:40,3.600,4,10,296,2.98,27,31,0:27:31,,,,
,Sunday,6,3,06/03/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Monday,6,4,06/04/18,408,3.89,0,08:14,7.293,32,0,0,0.14,0,17:52,3.360,2,30,408,4.03,34,30,0:34:30,7:30 PM,,,
,Tuesday,6,5,06/05/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Wednesday,6,6,06/06/18,492,4.51,0,07:59,7.516,36,0,0,0.43,0,17:39,3.402,7,35,492,4.94,43,35,0:43:35,10:15 AM,,,
,Thursday,6,7,06/07/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Outside,Friday,6,8,06/08/18,428,4.02,0,08:28,7.094,34,0,0,0.26,0,17:19,3.466,4,30,428,4.28,38,30,0:38:30,7:15 PM,,,
,Saturday,6,9,06/09/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
