Kevin,Person,Date,Sport,Legs,#VALUE!,End,#VALUE!,#VALUE!,#VALUE!,Barstool Boost,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Kevin,No,Barstool,Self,Help,Help,,Blank,Box Score,Help,Kevin
Kevin,Person,Date,Sport,Legs,Wager,End,Payout,Description,Notes,Boost,Before,After,To Win,To Profit,Influence,Live,Sportsbook,Venmo,Sponsor,Cash Back?,,,,,
69,Kevin,1/9/2022,NBA,1,$50.00,L,-$50.00,Stephen Curry and Klay Thompson to Make 9+ Combined Threes (1/9),Stephen Curry and Klay Thompson to Make 9+ Combined Threes (1/9),FD Boost,200,270,$185.00,$135.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
70,Kevin,1/9/2022,NFL,1,$25.00,W,$43.75,Derek Carr AND Justin Herbert to combine for 500+ passing yards,Derek Carr AND Justin Herbert to combine for 500+ passing yards,None,175,175,$68.75,$43.75,Kevin,Yes,Fan Duel,Self,,,,,,$43.75,
71,Kevin,1/9/2022,NFL,1,$250.00,W,$104.16,Cleveland Browns ML (Cincinnatti Bengals @ Cleveland Browns),Cleveland Browns ML (Cincinnatti Bengals @ Cleveland Browns),None,-250,-250,$354.16,$104.16,Kevin,No,DK,Self,,,,,,$104.16,
72,Kevin,1/9/2022,NFL,1,$250.00,W,$47.61,Tennessee Titans ML (Tennessee Titans @ Houston Texans),Tennessee Titans ML (Tennessee Titans @ Houston Texans),None,-525,-525,$297.61,$47.61,Kevin,No,DK,Self,,,,,,$47.61,
73,Kevin,1/9/2022,NFL,1,$250.00,W,$98.03,Washington Redskins ML (Washington Redskins @ New York Giants),Washington Redskins ML (Washington Redskins @ New York Giants),None,-255,-255,$348.03,$98.03,Kevin,No,DK,Self,,,,,,$98.03,
74,Kevin,1/9/2022,NHL,1,$36.00,W,$23.22,St. Louis Blues ML (Dallas Stars @ St. Louis Blues),St. Louis Blues ML (Dallas Stars @ St. Louis Blues),Free Bet,-155,-155,$23.22,$23.22,Murley,No,DK,Self,,,,,,$23.22,
75,Kevin,1/9/2022,NHL,1,$132.98,W,$85.79,St. Louis Blues ML (Dallas Stars @ St. Louis Blues),St. Louis Blues ML (Dallas Stars @ St. Louis Blues),None,-155,-155,$218.77,$85.79,Murley,No,DK,Self,,,,,,$85.79,
76,Kevin,1/9/2022,NFL,1,$250.00,W,$47.61,Tampa Bay Buccaneers ML (Carolina Panthers @ Tampa Bay Buccaneers),Tampa Bay Buccaneers ML (Carolina Panthers @ Tampa Bay Buccaneers),None,-525,-525,$297.61,$47.61,Kevin,No,DK,Self,,,,,,$47.61,
77,Kevin,1/9/2022,NFL,1,$250.00,L,-$250.00,New England Patriots ML (New England Patriots @ Miami Dolphins),New England Patriots ML (New England Patriots @ Miami Dolphins),None,-260,-260,$346.15,$96.15,Kevin,No,DK,Self,,,,,,-$250.00,
78,Kevin,1/9/2022,NFL,1,$250.00,L,-$250.00,Los Angeles Chargers ML (Los Angeles Chargers @ Las Vegas Raiders),Los Angeles Chargers ML (Los Angeles Chargers @ Las Vegas Raiders),None,-180,-180,$388.88,$138.88,Kevin,No,DK,Self,,,,,,-$250.00,
79,Kevin,1/9/2022,NFL,1,$249.80,W,$111.02,New Orleands Saints ML (New Orleans Saints @ Atlanta Falcons),New Orleands Saints ML (New Orleans Saints @ Atlanta Falcons),None,-225,-225,$360.82,$111.02,Kevin,No,DK,Self,,,,,,$111.02,
80,Kevin,1/9/2022,NFL,1,$10.00,W,$3.77,Tampa Bay Buccaneers ML (Carolina Panthers @ Tampa Bay Buccaneers),Tampa Bay Buccaneers ML (Carolina Panthers @ Tampa Bay Buccaneers),None,-265,-265,$13.77,$3.77,Kevin,Yes,DK,Self,,,,,,$3.77,
81,Kevin,1/9/2022,NFL,1,$10.00,L,-$10.00,Los Angeles Chargers ML (Los Angeles Chargers @ Las Vegas Raiders),Los Angeles Chargers ML (Los Angeles Chargers @ Las Vegas Raiders),None,-130,-130,$17.69,$7.69,Kevin,Yes,DK,Self,,,,,,-$10.00,
82,Kevin,1/9/2022,NFL,1,$500.00,W,$454.54,Tampa Bay Buccaneers ML (Philadelphia Eagles @ Tampa Bay Buccaneers),Tampa Bay Buccaneers ML (Philadelphia Eagles @ Tampa Bay Buccaneers),None,-110,-110,$954.54,$454.54,Kevin,No,DK,Self,,,,,,$454.54,
